URL,tipo de pagina,status code,redirects,canonical declarada,canonical Google,meta robots,x-robots-tag,en sitemap si/no,bloqueada si/no,estado GSC,ultimo rastreo,indexable si/no,problema,severidad,recomendacion
https://tuespaciodetrabajo.com/,home,200,no,https://tuespaciodetrabajo.com/,No disponible,max-image-preview:large,,si,no,Indexada probable,No disponible,si,Ninguno tecnico detectado,baja,Usar como hub para reforzar enlaces internos
https://tuespaciodetrabajo.com/sillas/mejor-silla-ergonomica-calidad-precio/,comparativa,200,no,https://tuespaciodetrabajo.com/sillas/mejor-silla-ergonomica-calidad-precio/,No disponible,max-image-preview:large,,si,no,Solicitada manualmente top 8,No disponible,si,Riesgo calidad/afiliado historico,alta,Reforzar metodologia y evidencia propia
https://tuespaciodetrabajo.com/accesorios/mejor-monitor-trabajar-desde-casa/,comparativa,200,no,https://tuespaciodetrabajo.com/accesorios/mejor-monitor-trabajar-desde-casa/,No disponible,max-image-preview:large,,si,no,Solicitada manualmente top 8,No disponible,si,Riesgo afiliado/listicle,media,Anadir pruebas propias y reducir redundancias CTA si aplica
https://tuespaciodetrabajo.com/escritorios/mejor-escritorio-elevable-electrico/,comparativa,200,no,https://tuespaciodetrabajo.com/escritorios/mejor-escritorio-elevable-electrico/,No disponible,max-image-preview:large,,si,no,Solicitada manualmente top 8,No disponible,si,Riesgo calidad afiliado,media,Reforzar criterios medibles y comparacion real
https://tuespaciodetrabajo.com/guias/ergonomia-teletrabajo-postura-correcta/,guia,200,no,https://tuespaciodetrabajo.com/guias/ergonomia-teletrabajo-postura-correcta/,No disponible,max-image-preview:large,,si,no,1 impresion 2026-05-13,No disponible,si,Senal minima de recuperacion,baja,Usar como pagina semilla y enlazar desde home/categorias
https://tuespaciodetrabajo.com/guias/dolor-espalda-trabajar-casa/,guia,200,no,https://tuespaciodetrabajo.com/guias/dolor-espalda-trabajar-casa/,No disponible,max-image-preview:large,,si,no,Solicitada manualmente top 8,No disponible,si,Ninguno tecnico detectado,baja,Reforzar fuentes y experiencia clinica sin claims medicos excesivos
https://tuespaciodetrabajo.com/ambiente/mejor-lampara-escritorio-led/,comparativa,200,no,https://tuespaciodetrabajo.com/ambiente/mejor-lampara-escritorio-led/,No disponible,max-image-preview:large,,si,no,Solicitada manualmente post-refactor,No disponible,si,Densidad afiliada historica alta,alta,Monitorizar tras refactor y mejorar pruebas/fotos
https://tuespaciodetrabajo.com/accesorios/mejor-raton-vertical-ergonomico/,comparativa,200,no,https://tuespaciodetrabajo.com/accesorios/mejor-raton-vertical-ergonomico/,No disponible,max-image-preview:large,,si,no,Solicitada manualmente post-refactor,No disponible,si,Densidad afiliada historica alta,alta,Monitorizar tras refactor y reforzar experiencia real
https://tuespaciodetrabajo.com/accesorios/mejor-teclado-ergonomico/,comparativa,200,no,https://tuespaciodetrabajo.com/accesorios/mejor-teclado-ergonomico/,No disponible,max-image-preview:large,,si,no,Solicitada manualmente post-refactor,No disponible,si,Densidad afiliada historica alta,alta,Monitorizar tras refactor y reforzar metodologia
https://tuespaciodetrabajo.com/ambiente/mejor-ventilador-silencioso-oficina/,comparativa,200,no,https://tuespaciodetrabajo.com/ambiente/mejor-ventilador-silencioso-oficina/,No disponible,max-image-preview:large,,si,no,Google no reconoce URL segun GSC 2026-05-19,No disponible,si,Descubrimiento/rastreo pendiente,media,Reenviar sitemap manualmente e inspeccionar URL
